project,year,fellow,region,match,corrected
"
              The 40th Anniversary Churchill Fellowship (ACT) to investigate programmes aimed at teaching children how to eat well and to enjoy the pleasures that doing so can bring to themselves, their families and the broader community - USA, Canada, U.K.
",2006,"CADDY, Juanita",USA,yes,USA
"
              The 40th Anniversary Churchill Fellowship (ACT) to investigate programmes aimed at teaching children how to eat well and to enjoy the pleasures that doing so can bring to themselves, their families and the broader community - USA, Canada, U.K.
",2006,"CADDY, Juanita",Canada,yes,Canada
"
              The 40th Anniversary Churchill Fellowship (ACT) to investigate programmes aimed at teaching children how to eat well and to enjoy the pleasures that doing so can bring to themselves, their families and the broader community - USA, Canada, U.K.
",2006,"CADDY, Juanita",UK,yes,UK
"
              To undertake a comparison of available and emerging technology, and of innovative care models, in providing cost effective solutions to the social and health risks taken by older people who choose to maintain independent living - USA, Canada, U.K., Irelan
",2006,"CARR, Trevor",USA,yes,USA
"
              To undertake a comparison of available and emerging technology, and of innovative care models, in providing cost effective solutions to the social and health risks taken by older people who choose to maintain independent living - USA, Canada, U.K., Irelan
",2006,"CARR, Trevor",Canada,yes,Canada
"
              To undertake a comparison of available and emerging technology, and of innovative care models, in providing cost effective solutions to the social and health risks taken by older people who choose to maintain independent living - USA, Canada, U.K., Irelan
",2006,"CARR, Trevor",UK,yes,UK
"
              To gain and develop marketing, administration and promotional skills to assist the presentation and awareness of Australian Classical Music - USA
",2006,"CERNEAZ, Anna",USA,yes,USA
"
              To identify methods and approaches used by International Law Enforcement Agencies to counter Outlaw Motorcycle Gangs (OMG's) and their involvement in organised crime - USA, Canada, Norway, Netherlands, Denmark
",2006,"CHALKER APM, Jamie",USA,yes,USA
"
              To identify methods and approaches used by International Law Enforcement Agencies to counter Outlaw Motorcycle Gangs (OMG's) and their involvement in organised crime - USA, Canada, Norway, Netherlands, Denmark
",2006,"CHALKER APM, Jamie",Canada,yes,Canada
"
              To identify methods and approaches used by International Law Enforcement Agencies to counter Outlaw Motorcycle Gangs (OMG's) and their involvement in organised crime - USA, Canada, Norway, Netherlands, Denmark
",2006,"CHALKER APM, Jamie",Norway,yes,Norway
"
              To identify methods and approaches used by International Law Enforcement Agencies to counter Outlaw Motorcycle Gangs (OMG's) and their involvement in organised crime - USA, Canada, Norway, Netherlands, Denmark
",2006,"CHALKER APM, Jamie",Netherlands,yes,Netherlands
"
              To identify methods and approaches used by International Law Enforcement Agencies to counter Outlaw Motorcycle Gangs (OMG's) and their involvement in organised crime - USA, Canada, Norway, Netherlands, Denmark
",2006,"CHALKER APM, Jamie",Denmark,yes,Denmark
"
              To study practical approaches to planning and teaching music technology in primary school classrooms with an emphasis on digital projects that enable students to compose and create - USA, U.K.
",2006,"CHILIANIS, Melanie",USA,yes,USA
"
              To study practical approaches to planning and teaching music technology in primary school classrooms with an emphasis on digital projects that enable students to compose and create - USA, U.K.
",2006,"CHILIANIS, Melanie",UK,yes,UK
"
              To examine the management procedures of soldiers injured during initial employment training and to assess initiatives to ensure Australian Defence Force Initial Employment Trainees successfully return to the training force - U.K., USA
",2006,"Clancy (nee Joiner), Selena",UK,yes,UK
"
              To examine the management procedures of soldiers injured during initial employment training and to assess initiatives to ensure Australian Defence Force Initial Employment Trainees successfully return to the training force - U.K., USA
",2006,"Clancy (nee Joiner), Selena",USA,yes,USA
"
              To research the business models of successful American independent film production companies and to apply their methods to building a sustainable feature film production company from Adelaide - USA
",2006,"CLARKIN, Michael",USA,yes,USA
"
              To study climate change impacts, adaptation and vulnerability in natural resource management - U.K., Germany, Austria, Canada, USA
",2006,"CLIFTON, Craig",UK,yes,UK
"
              To study climate change impacts, adaptation and vulnerability in natural resource management - U.K., Germany, Austria, Canada, USA
",2006,"CLIFTON, Craig",Germany,yes,Germany
"
              To study climate change impacts, adaptation and vulnerability in natural resource management - U.K., Germany, Austria, Canada, USA
",2006,"CLIFTON, Craig",Austria,yes,Austria
"
              To study climate change impacts, adaptation and vulnerability in natural resource management - U.K., Germany, Austria, Canada, USA
",2006,"CLIFTON, Craig",Canada,yes,Canada
"
              To study climate change impacts, adaptation and vulnerability in natural resource management - U.K., Germany, Austria, Canada, USA
",2006,"CLIFTON, Craig",USA,yes,USA
"
              To study elephant keeping, training, breeding and calf-rearing techniques which can be applied for use at Perth Zoo and other Australian institutions wishing to further develop their elephant management programmes - U.K., Ireland, Canada, USA
",2006,"CONROY, John",UK,yes,UK
"
              To study elephant keeping, training, breeding and calf-rearing techniques which can be applied for use at Perth Zoo and other Australian institutions wishing to further develop their elephant management programmes - U.K., Ireland, Canada, USA
",2006,"CONROY, John",Ireland,yes,Ireland
"
              To study elephant keeping, training, breeding and calf-rearing techniques which can be applied for use at Perth Zoo and other Australian institutions wishing to further develop their elephant management programmes - U.K., Ireland, Canada, USA
",2006,"CONROY, John",Canada,yes,Canada
"
              To study elephant keeping, training, breeding and calf-rearing techniques which can be applied for use at Perth Zoo and other Australian institutions wishing to further develop their elephant management programmes - U.K., Ireland, Canada, USA
",2006,"CONROY, John",USA,yes,USA
"
              To study models where sport, recreation and physical activity programs have improved social capital in disadvantaged communities in addition to increasing physical activity participation levels - U.K., Ireland, Canada
",2006,"COWELL, Jacqueline",UK,yes,UK
"
              To study models where sport, recreation and physical activity programs have improved social capital in disadvantaged communities in addition to increasing physical activity participation levels - U.K., Ireland, Canada
",2006,"COWELL, Jacqueline",Ireland,yes,Ireland
"
              To study models where sport, recreation and physical activity programs have improved social capital in disadvantaged communities in addition to increasing physical activity participation levels - U.K., Ireland, Canada
",2006,"COWELL, Jacqueline",Canada,yes,Canada
"
              To ascertain how government legislation, organisational policies and community strategies have facilitated the repatriation of Indigenous human remains - New Zealand, USA, Canada, U.K.
",2006,"CUBILLO, Franchesca",New Zealand,yes,New Zealand
"
              To ascertain how government legislation, organisational policies and community strategies have facilitated the repatriation of Indigenous human remains - New Zealand, USA, Canada, U.K.
",2006,"CUBILLO, Franchesca",USA,yes,USA
"
              To ascertain how government legislation, organisational policies and community strategies have facilitated the repatriation of Indigenous human remains - New Zealand, USA, Canada, U.K.
",2006,"CUBILLO, Franchesca",Canada,yes,Canada
"
              To ascertain how government legislation, organisational policies and community strategies have facilitated the repatriation of Indigenous human remains - New Zealand, USA, Canada, U.K.
",2006,"CUBILLO, Franchesca",UK,yes,UK
"
              To examine and compare massage therapy and aromatherapy programmes catering for palliative care patients, particularly people with Motor Neurone Disease - U.K., Canada
",2006,"DAVIDSON, Wilma",UK,yes,UK
"
              To examine and compare massage therapy and aromatherapy programmes catering for palliative care patients, particularly people with Motor Neurone Disease - U.K., Canada
",2006,"DAVIDSON, Wilma",Canada,yes,Canada
"
              To study holistic models of care, for highly disadvantaged people, which have been established in faith-based communities - Kenya, U.K., USA
",2006,"DAVIES-KILDEA, Jason",Kenya,yes,Kenya
"
              To study holistic models of care, for highly disadvantaged people, which have been established in faith-based communities - Kenya, U.K., USA
",2006,"DAVIES-KILDEA, Jason",UK,yes,UK
"
              To study holistic models of care, for highly disadvantaged people, which have been established in faith-based communities - Kenya, U.K., USA
",2006,"DAVIES-KILDEA, Jason",USA,yes,USA
"
              To undertake an indepth analysis of internal ambulance, police and fire service media operations with a view to developing practical and effective media response measures for Australia's emergency services, media and public - USA, U.K.
",2006,"DONALD, Danny",USA,yes,USA
"
              To undertake an indepth analysis of internal ambulance, police and fire service media operations with a view to developing practical and effective media response measures for Australia's emergency services, media and public - USA, U.K.
",2006,"DONALD, Danny",UK,yes,UK
"
              To study the effects on student achievement in schools where restorative practices have been embedded as a way of learning and not as an intervention for difficult students or situations - U.K., Canada, USA, South Africa
",2006,"DOPPLER, Lynette",UK,yes,UK
"
              To study the effects on student achievement in schools where restorative practices have been embedded as a way of learning and not as an intervention for difficult students or situations - U.K., Canada, USA, South Africa
",2006,"DOPPLER, Lynette",Canada,yes,Canada
"
              To study the effects on student achievement in schools where restorative practices have been embedded as a way of learning and not as an intervention for difficult students or situations - U.K., Canada, USA, South Africa
",2006,"DOPPLER, Lynette",USA,yes,USA
"
              To study the effects on student achievement in schools where restorative practices have been embedded as a way of learning and not as an intervention for difficult students or situations - U.K., Canada, USA, South Africa
",2006,"DOPPLER, Lynette",South Africa,yes,South Africa
"
              To study how rural communities effectively protect and utilise their rich natural heritage with emphasis on the revitalisation of regional economies - Canada
",2006,"EDMUNDS, Lorraine",Canada,yes,Canada
"
              To assess service models that effectively facilitate and support adoption and other legally permanent placements for children and young people in various forms of state care, particularly foster care - New Zealand, USA, Canada, U.K.
",2006,"EVANS, Frances",New Zealand,yes,New Zealand
"
              To assess service models that effectively facilitate and support adoption and other legally permanent placements for children and young people in various forms of state care, particularly foster care - New Zealand, USA, Canada, U.K.
",2006,"EVANS, Frances",USA,yes,USA
"
              To assess service models that effectively facilitate and support adoption and other legally permanent placements for children and young people in various forms of state care, particularly foster care - New Zealand, USA, Canada, U.K.
",2006,"EVANS, Frances",Canada,yes,Canada
"
              To assess service models that effectively facilitate and support adoption and other legally permanent placements for children and young people in various forms of state care, particularly foster care - New Zealand, USA, Canada, U.K.
",2006,"EVANS, Frances",UK,yes,UK
"
              To study the prawn trapping industry with emphasis on sustainability, regulations and ongoing research which may provide an alternative to prawn trawling in Australia - USA, Canada
",2006,"EVERSON, Julie",USA,yes,USA
"
              To study the prawn trapping industry with emphasis on sustainability, regulations and ongoing research which may provide an alternative to prawn trawling in Australia - USA, Canada
",2006,"EVERSON, Julie",Canada,yes,Canada
"
              To undertake a mentorship with leading screen-composer Marco Beltrami and to develop an understanding of the working process between Composer, Director, Producer, Editor and Sound Designer in the industry of feature film - USA
",2006,"FINSTERER, Mary",USA,yes,USA
"
              To observe ways in which information about children with special needs is shared by interdisciplinary teams with families in different settings - USA, Canada, U.K.
",2006,"FOSTER, Judith",USA,yes,USA
"
              To observe ways in which information about children with special needs is shared by interdisciplinary teams with families in different settings - USA, Canada, U.K.
",2006,"FOSTER, Judith",Canada,yes,Canada
"
              To observe ways in which information about children with special needs is shared by interdisciplinary teams with families in different settings - USA, Canada, U.K.
",2006,"FOSTER, Judith",UK,yes,UK
"
              To visit centres which have a strong and established focus of caring for dying children at home (outreach) as well as those specifically targeting adolescents - U.K., Ireland
",2006,"FROST, Judy",UK,yes,UK
"
              To visit centres which have a strong and established focus of caring for dying children at home (outreach) as well as those specifically targeting adolescents - U.K., Ireland
",2006,"FROST, Judy",Ireland,yes,Ireland
"
              To examine strategies to provide effective, appropriate curriculum to students returning to education and training as a result of the W.A. government decision to raise the school leaving age - U.K., France
",2006,"GENONI, Alan",UK,yes,UK
"
              To examine strategies to provide effective, appropriate curriculum to students returning to education and training as a result of the W.A. government decision to raise the school leaving age - U.K., France
",2006,"GENONI, Alan",France,yes,France
"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate models of leadership development for people with disabilities - U.K., Ireland, Germany
",2006,"GIANNI, Stephen",UK,yes,UK
"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate models of leadership development for people with disabilities - U.K., Ireland, Germany
",2006,"GIANNI, Stephen",Ireland,yes,Ireland
"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate models of leadership development for people with disabilities - U.K., Ireland, Germany
",2006,"GIANNI, Stephen",Germany,yes,Germany
"
              To investigate partnership models that encourage farmers to incorporate conservation into farming practices - USA, Canada
",2006,"GILFEDDER OAM, Louise",USA,yes,USA
"
              To investigate partnership models that encourage farmers to incorporate conservation into farming practices - USA, Canada
",2006,"GILFEDDER OAM, Louise",Canada,yes,Canada
"
              To examine private and government funded Public Access Defibrillation (PAD) projects and assess their suitability for the Australian environment - USA, U.K., Ireland, Italy
",2006,"GLEESON, Patrick",USA,yes,USA
"
              To examine private and government funded Public Access Defibrillation (PAD) projects and assess their suitability for the Australian environment - USA, U.K., Ireland, Italy
",2006,"GLEESON, Patrick",UK,yes,UK
"
              To examine private and government funded Public Access Defibrillation (PAD) projects and assess their suitability for the Australian environment - USA, U.K., Ireland, Italy
",2006,"GLEESON, Patrick",Ireland,yes,Ireland
"
              To examine private and government funded Public Access Defibrillation (PAD) projects and assess their suitability for the Australian environment - USA, U.K., Ireland, Italy
",2006,"GLEESON, Patrick",Italy,yes,Italy
