description,year,name,region,on_churchill,on_map,region_edited
"
              To investigate how to access the entrepreneurial potential of asylum seekers and refugees using a Humanitarian Innovation Platform - USA, UK, Switzerland, Kosovo, Kenya, India
            ",2014,"Ackerly, Gavin",USA,yes,yes,yes
"
              To investigate how to access the entrepreneurial potential of asylum seekers and refugees using a Humanitarian Innovation Platform - USA, UK, Switzerland, Kosovo, Kenya, India
            ",2014,"Ackerly, Gavin",UK,yes,yes,yes
"
              To investigate how to access the entrepreneurial potential of asylum seekers and refugees using a Humanitarian Innovation Platform - USA, UK, Switzerland, Kosovo, Kenya, India
            ",2014,"Ackerly, Gavin",Switzerland,yes,yes,yes
"
              To investigate how to access the entrepreneurial potential of asylum seekers and refugees using a Humanitarian Innovation Platform - USA, UK, Switzerland, Kosovo, Kenya, India
            ",2014,"Ackerly, Gavin",Kosovo,yes,yes,yes
"
              To investigate how to access the entrepreneurial potential of asylum seekers and refugees using a Humanitarian Innovation Platform - USA, UK, Switzerland, Kosovo, Kenya, India
            ",2014,"Ackerly, Gavin",Kenya,yes,yes,yes
"
              To investigate how to access the entrepreneurial potential of asylum seekers and refugees using a Humanitarian Innovation Platform - USA, UK, Switzerland, Kosovo, Kenya, India
            ",2014,"Ackerly, Gavin",India,yes,yes,yes
"
              To observe strategies for engaging young parents to improve outcomes for vulnerable children - New Zealand, USA, Canada, UK
            ",2014,"Adams, Catina",New Zealand,yes,yes,yes
"
              To observe strategies for engaging young parents to improve outcomes for vulnerable children - New Zealand, USA, Canada, UK
            ",2014,"Adams, Catina",USA,yes,yes,yes
"
              To observe strategies for engaging young parents to improve outcomes for vulnerable children - New Zealand, USA, Canada, UK
            ",2014,"Adams, Catina",Canada,yes,yes,yes
"
              To observe strategies for engaging young parents to improve outcomes for vulnerable children - New Zealand, USA, Canada, UK
            ",2014,"Adams, Catina",UK,yes,yes,yes
"
              To identify innovative and effective methods for the recruitment, training and management of volunteer marine rescue services - USA, Canada, UK, France
            ",2014,"Bacchus, David",USA,yes,yes,yes
"
              To identify innovative and effective methods for the recruitment, training and management of volunteer marine rescue services - USA, Canada, UK, France
            ",2014,"Bacchus, David",Canada,yes,yes,yes
"
              To identify innovative and effective methods for the recruitment, training and management of volunteer marine rescue services - USA, Canada, UK, France
            ",2014,"Bacchus, David",UK,yes,yes,yes
"
              To identify innovative and effective methods for the recruitment, training and management of volunteer marine rescue services - USA, Canada, UK, France
            ",2014,"Bacchus, David",France,yes,yes,yes
"
              To create high performance electronic memory devices by combining exotic two-dimensional materials - USA
            ",2014,"Balendhran, Sivacarendran",USA,yes,yes,yes
"
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to obtain an in-depth understanding from international leaders of designing, implementing and sustaining a 'teaching nursing home' - USA, Canada
            ",2014,"Barnett OAM, Kate",USA,yes,yes,yes
"
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to obtain an in-depth understanding from international leaders of designing, implementing and sustaining a 'teaching nursing home' - USA, Canada
            ",2014,"Barnett OAM, Kate",Canada,yes,yes,yes
"
              To investigate the administration, delivery and current innovations in legal representation schemes for children - USA, UK
            ",2014,"Beckhouse, Kylie",USA,yes,yes,yes
"
              To investigate the administration, delivery and current innovations in legal representation schemes for children - USA, UK
            ",2014,"Beckhouse, Kylie",UK,yes,yes,yes
"
              To examine intervention programs for individuals at risk of or currently engaged in a violent extremism ideology - UK, Ireland, Sweden, Canada, USA
            ",2014,"Bell, Michael",UK,yes,yes,yes
"
              To examine intervention programs for individuals at risk of or currently engaged in a violent extremism ideology - UK, Ireland, Sweden, Canada, USA
            ",2014,"Bell, Michael",Ireland,yes,yes,yes
"
              To examine intervention programs for individuals at risk of or currently engaged in a violent extremism ideology - UK, Ireland, Sweden, Canada, USA
            ",2014,"Bell, Michael",Sweden,yes,yes,yes
"
              To examine intervention programs for individuals at risk of or currently engaged in a violent extremism ideology - UK, Ireland, Sweden, Canada, USA
            ",2014,"Bell, Michael",Canada,yes,yes,yes
"
              To examine intervention programs for individuals at risk of or currently engaged in a violent extremism ideology - UK, Ireland, Sweden, Canada, USA
            ",2014,"Bell, Michael",USA,yes,yes,yes
"
              The Dr Dorothea Sandars Churchill Fellowship to investigate innovative methods in medical education, health informatics and microbiology to improve the use of antibiotics and management of infection - Sweden, UK, Netherlands, USA
            ",2014,"Benson, Susan",Sweden,yes,yes,yes
"
              The Dr Dorothea Sandars Churchill Fellowship to investigate innovative methods in medical education, health informatics and microbiology to improve the use of antibiotics and management of infection - Sweden, UK, Netherlands, USA
            ",2014,"Benson, Susan",UK,yes,yes,yes
"
              The Dr Dorothea Sandars Churchill Fellowship to investigate innovative methods in medical education, health informatics and microbiology to improve the use of antibiotics and management of infection - Sweden, UK, Netherlands, USA
            ",2014,"Benson, Susan",Netherlands,yes,yes,yes
"
              The Dr Dorothea Sandars Churchill Fellowship to investigate innovative methods in medical education, health informatics and microbiology to improve the use of antibiotics and management of infection - Sweden, UK, Netherlands, USA
            ",2014,"Benson, Susan",USA,yes,yes,yes
"
              The Gallaugher Bequest Churchill Fellowship to investigate effective models of re-engaging traumatised children with education - USA, UK 
            ",2014,"Bentley, Stephen",USA,yes,yes,yes
"
              The Gallaugher Bequest Churchill Fellowship to investigate effective models of re-engaging traumatised children with education - USA, UK 
            ",2014,"Bentley, Stephen",UK,yes,yes,yes
"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to study the dichotomy in technology education of the future, the role of hand skills and the role of CAD/CAM technology in the production of designed solutions - USA, UK, Netherlands, Switzerland, Germany, Finland
            ",2014,"Bleakley, Alesha",USA,yes,yes,yes
"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to study the dichotomy in technology education of the future, the role of hand skills and the role of CAD/CAM technology in the production of designed solutions - USA, UK, Netherlands, Switzerland, Germany, Finland
            ",2014,"Bleakley, Alesha",UK,yes,yes,yes
"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to study the dichotomy in technology education of the future, the role of hand skills and the role of CAD/CAM technology in the production of designed solutions - USA, UK, Netherlands, Switzerland, Germany, Finland
            ",2014,"Bleakley, Alesha",Netherlands,yes,yes,yes
"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to study the dichotomy in technology education of the future, the role of hand skills and the role of CAD/CAM technology in the production of designed solutions - USA, UK, Netherlands, Switzerland, Germany, Finland
            ",2014,"Bleakley, Alesha",Switzerland,yes,yes,yes
"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to study the dichotomy in technology education of the future, the role of hand skills and the role of CAD/CAM technology in the production of designed solutions - USA, UK, Netherlands, Switzerland, Germany, Finland
            ",2014,"Bleakley, Alesha",Germany,yes,yes,yes
"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to study the dichotomy in technology education of the future, the role of hand skills and the role of CAD/CAM technology in the production of designed solutions - USA, UK, Netherlands, Switzerland, Germany, Finland
            ",2014,"Bleakley, Alesha",Finland,yes,yes,yes
"
              The Donald Mackay Churchill Fellowship to examine the technological resources utilised by international law enforcement agencies to assist in tracing the proceeds of crime - USA, Netherlands, UK, Canada
            ",2014,"Bourne, Katie",USA,yes,yes,yes
"
              The Donald Mackay Churchill Fellowship to examine the technological resources utilised by international law enforcement agencies to assist in tracing the proceeds of crime - USA, Netherlands, UK, Canada
            ",2014,"Bourne, Katie",Netherlands,yes,yes,yes
"
              The Donald Mackay Churchill Fellowship to examine the technological resources utilised by international law enforcement agencies to assist in tracing the proceeds of crime - USA, Netherlands, UK, Canada
            ",2014,"Bourne, Katie",UK,yes,yes,yes
"
              The Donald Mackay Churchill Fellowship to examine the technological resources utilised by international law enforcement agencies to assist in tracing the proceeds of crime - USA, Netherlands, UK, Canada
            ",2014,"Bourne, Katie",Canada,yes,yes,yes
"
              To research specialist collections of historical blue and white ceramics to gain new understanding, inspiration and skills - USA, UK, Netherlands
            ",2014,"Bowers, Stephen",USA,yes,yes,yes
"
              To research specialist collections of historical blue and white ceramics to gain new understanding, inspiration and skills - USA, UK, Netherlands
            ",2014,"Bowers, Stephen",UK,yes,yes,yes
"
              To research specialist collections of historical blue and white ceramics to gain new understanding, inspiration and skills - USA, UK, Netherlands
            ",2014,"Bowers, Stephen",Netherlands,yes,yes,yes
"
              To review options for residential therapeutic treatment for young people suffering substance abuse/mental illness - New Zealand, UK, Sweden
            ",2014,"Bowles , Jennifer",New Zealand,yes,yes,yes
"
              To review options for residential therapeutic treatment for young people suffering substance abuse/mental illness - New Zealand, UK, Sweden
            ",2014,"Bowles , Jennifer",UK,yes,yes,yes
"
              To review options for residential therapeutic treatment for young people suffering substance abuse/mental illness - New Zealand, UK, Sweden
            ",2014,"Bowles , Jennifer",Sweden,yes,yes,yes
"
              The AV Jennings Churchill Fellowship to investigate the use of inclusionary zoning requirements to support the delivery of affordable housing - USA, Canada, UK
            ",2014,"Breen, Kate",USA,yes,yes,yes
"
              The AV Jennings Churchill Fellowship to investigate the use of inclusionary zoning requirements to support the delivery of affordable housing - USA, Canada, UK
            ",2014,"Breen, Kate",Canada,yes,yes,yes
"
              The AV Jennings Churchill Fellowship to investigate the use of inclusionary zoning requirements to support the delivery of affordable housing - USA, Canada, UK
            ",2014,"Breen, Kate",UK,yes,yes,yes
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to study low horn performance methods in the world's top orchestras - USA, Germany, UK
            ",2014,"Breen, Jenna",USA,yes,yes,yes
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to study low horn performance methods in the world's top orchestras - USA, Germany, UK
            ",2014,"Breen, Jenna",Germany,yes,yes,yes
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to study low horn performance methods in the world's top orchestras - USA, Germany, UK
            ",2014,"Breen, Jenna",UK,yes,yes,yes
"
              To examine the difference between minor traumatic brain injuries from direct and indirect blast exposures - USA 
            ",2014,"Brennan, Leonard",USA,yes,yes,yes
"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate medical research commercialisation & innovation initiatives - USA, Germany & Singapore
            ",2014,"Brew, Nadine",USA,yes,yes,yes
"
              To investigate models for making childbirth safe and accessible for rural women across Australia - UK, Canada, New Zealand
            ",2014,"Brittain, Hazel",UK,yes,yes,yes
"
              To investigate models for making childbirth safe and accessible for rural women across Australia - UK, Canada, New Zealand
            ",2014,"Brittain, Hazel",Canada,yes,yes,yes
"
              To investigate models for making childbirth safe and accessible for rural women across Australia - UK, Canada, New Zealand
            ",2014,"Brittain, Hazel",New Zealand,yes,yes,yes
"
              To further develop contemporary playwrighting skills - Ireland
            ",2014,"Butler, Mary Anne",Ireland,yes,yes,yes
"
              The Sir William Kilpatrick Churchill Fellowship to gain expertise in life supportive treatment for patients bridged to lung transplant on extracorporeal membrane oxygenation - France, Germany, Belgium, USA & Canada
            ",2014,"Button, Brenda ",France,yes,yes,yes
"
              The Sir William Kilpatrick Churchill Fellowship to gain expertise in life supportive treatment for patients bridged to lung transplant on extracorporeal membrane oxygenation - France, Germany, Belgium, USA & Canada
            ",2014,"Button, Brenda ",Germany,yes,yes,yes
"
              The Sir William Kilpatrick Churchill Fellowship to gain expertise in life supportive treatment for patients bridged to lung transplant on extracorporeal membrane oxygenation - France, Germany, Belgium, USA & Canada
            ",2014,"Button, Brenda ",Belgium,yes,yes,yes
"
              To explore international approaches to residential and alternative care for young people with developmental and intellectual disability and significant challenging behaviours - Denmark, UK, USA, Canada
            ",2014,"Cameron, Kate",Denmark,yes,yes,yes
"
              To explore international approaches to residential and alternative care for young people with developmental and intellectual disability and significant challenging behaviours - Denmark, UK, USA, Canada
            ",2014,"Cameron, Kate",UK,yes,yes,yes
"
              To explore international approaches to residential and alternative care for young people with developmental and intellectual disability and significant challenging behaviours - Denmark, UK, USA, Canada
            ",2014,"Cameron, Kate",USA,yes,yes,yes
"
              To explore international approaches to residential and alternative care for young people with developmental and intellectual disability and significant challenging behaviours - Denmark, UK, USA, Canada
            ",2014,"Cameron, Kate",Canada,yes,yes,yes
"
              To understand and prevent degradation of coral reefs - Fiji, USA, Brazil
            ",2014,"Campbell, Alexandra",Fiji,yes,yes,yes
"
              To understand and prevent degradation of coral reefs - Fiji, USA, Brazil
            ",2014,"Campbell, Alexandra",USA,yes,yes,yes
"
              To understand and prevent degradation of coral reefs - Fiji, USA, Brazil
            ",2014,"Campbell, Alexandra",Brazil,yes,yes,yes
"
              To determine the effects of media images in influencing unsafe behaviour in disasters - New Zealand, USA, Canada, UK
            ",2014,"Campbell, Philip",New Zealand,yes,yes,yes
"
              To determine the effects of media images in influencing unsafe behaviour in disasters - New Zealand, USA, Canada, UK
            ",2014,"Campbell, Philip",USA,yes,yes,yes
"
              To determine the effects of media images in influencing unsafe behaviour in disasters - New Zealand, USA, Canada, UK
            ",2014,"Campbell, Philip",Canada,yes,yes,yes
"
              To determine the effects of media images in influencing unsafe behaviour in disasters - New Zealand, USA, Canada, UK
            ",2014,"Campbell, Philip",UK,yes,yes,yes
"
              To investigate the storage of electricity produced by renewable generation - Australia, New Zealand, Germany, Italy, Greece, Japan, USA
            ",2014,"Christian, John",Australia,yes,yes,yes
"
              To investigate the storage of electricity produced by renewable generation - Australia, New Zealand, Germany, Italy, Greece, Japan, USA
            ",2014,"Christian, John",New Zealand,yes,yes,yes
"
              To investigate the storage of electricity produced by renewable generation - Australia, New Zealand, Germany, Italy, Greece, Japan, USA
            ",2014,"Christian, John",Germany,yes,yes,yes
"
              To investigate the storage of electricity produced by renewable generation - Australia, New Zealand, Germany, Italy, Greece, Japan, USA
            ",2014,"Christian, John",Italy,yes,yes,yes
"
              To investigate the storage of electricity produced by renewable generation - Australia, New Zealand, Germany, Italy, Greece, Japan, USA
            ",2014,"Christian, John",Greece,yes,yes,yes
"
              To investigate the storage of electricity produced by renewable generation - Australia, New Zealand, Germany, Italy, Greece, Japan, USA
            ",2014,"Christian, John",Japan,yes,yes,yes
"
              To investigate the storage of electricity produced by renewable generation - Australia, New Zealand, Germany, Italy, Greece, Japan, USA
            ",2014,"Christian, John",USA,yes,yes,yes
"
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to explore Advance Care Planning programs which respect and honour people's wishes for health care including at the end of life care - Canada, USA
            ",2014,"Cocker, Joy",Canada,yes,yes,yes
"
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to explore Advance Care Planning programs which respect and honour people's wishes for health care including at the end of life care - Canada, USA
            ",2014,"Cocker, Joy",USA,yes,yes,yes
"
              The Stuart and Norma Leslie Churchill Fellowship to investigate dance training, coaching and rehabilitation methods used in international companies and schools - USA, UK, France, Russia
            ",2014,"Connelly, Megan",USA,yes,yes,yes
"
              The Stuart and Norma Leslie Churchill Fellowship to investigate dance training, coaching and rehabilitation methods used in international companies and schools - USA, UK, France, Russia
            ",2014,"Connelly, Megan",UK,yes,yes,yes
"
              The Stuart and Norma Leslie Churchill Fellowship to investigate dance training, coaching and rehabilitation methods used in international companies and schools - USA, UK, France, Russia
            ",2014,"Connelly, Megan",France,yes,yes,yes
"
              The Stuart and Norma Leslie Churchill Fellowship to investigate dance training, coaching and rehabilitation methods used in international companies and schools - USA, UK, France, Russia
            ",2014,"Connelly, Megan",Russia,yes,yes,yes
"
              To assess how Fetal Alcohol Spectrum Disorder affected youth in the criminal justice system are dealt with in other jurisdictions - New Zealand, Canada, USA
            ",2014,"Crawford, Catherine",New Zealand,yes,yes,yes
"
              To assess how Fetal Alcohol Spectrum Disorder affected youth in the criminal justice system are dealt with in other jurisdictions - New Zealand, Canada, USA
            ",2014,"Crawford, Catherine",Canada,yes,yes,yes
"
              To assess how Fetal Alcohol Spectrum Disorder affected youth in the criminal justice system are dealt with in other jurisdictions - New Zealand, Canada, USA
            ",2014,"Crawford, Catherine",USA,yes,yes,yes
"
              The Peter Mitchell Churchill Fellowship to investigate language and cultural inclusion programs illustrating best practice in the integration of adolescent refugee students - Canada, USA
            ",2014,"Crealy, Isobel",Canada,yes,yes,yes
"
              The Peter Mitchell Churchill Fellowship to investigate language and cultural inclusion programs illustrating best practice in the integration of adolescent refugee students - Canada, USA
            ",2014,"Crealy, Isobel",USA,yes,yes,yes
"
              To work with master artists in elite woodblock and other printing methods - Japan, Netherlands
            ",2014,"Dahlsen, John",Japan,yes,yes,yes
"
              To work with master artists in elite woodblock and other printing methods - Japan, Netherlands
            ",2014,"Dahlsen, John",Netherlands,yes,yes,yes
"
              To develop guidelines for best practice in Australian coroners' courts, especially the training of coroners - Canada, UK, Germany
            ",2014,"Dillon, Hugh",Canada,yes,yes,yes
"
              To develop guidelines for best practice in Australian coroners' courts, especially the training of coroners - Canada, UK, Germany
            ",2014,"Dillon, Hugh",UK,yes,yes,yes
"
              To develop guidelines for best practice in Australian coroners' courts, especially the training of coroners - Canada, UK, Germany
            ",2014,"Dillon, Hugh",Germany,yes,yes,yes
"
              To investigate Managed Alcohol Programs for the homeless - USA, Canada, UK, Spain
            ",2014,"Dolan, Kate",USA,yes,yes,yes
"
              To investigate Managed Alcohol Programs for the homeless - USA, Canada, UK, Spain
            ",2014,"Dolan, Kate",Canada,yes,yes,yes
"
              To investigate Managed Alcohol Programs for the homeless - USA, Canada, UK, Spain
            ",2014,"Dolan, Kate",UK,yes,yes,yes
"
              To investigate Managed Alcohol Programs for the homeless - USA, Canada, UK, Spain
            ",2014,"Dolan, Kate",Spain,yes,yes,yes
"
              To investigate how successful environmental charities have created a culture of philanthropy to build financial resilience and long term environmental outcomes - UK, Canada, USA
            ",2014,"Duddles, Jonathan ",UK,yes,yes,yes
"
              To investigate how successful environmental charities have created a culture of philanthropy to build financial resilience and long term environmental outcomes - UK, Canada, USA
            ",2014,"Duddles, Jonathan ",Canada,yes,yes,yes
"
              To investigate how successful environmental charities have created a culture of philanthropy to build financial resilience and long term environmental outcomes - UK, Canada, USA
            ",2014,"Duddles, Jonathan ",USA,yes,yes,yes
"
              To research performance, composition and pedagogy in intercultural music between jazz musicians and Indian musicians - India
            ",2014,"Evans, Sandra",India,yes,yes,yes
"
              To investigate how lawyers can empower communities to achieve change - USA, Canada, UK
            ",2014,"Farrell, James",USA,yes,yes,yes
"
              To investigate how lawyers can empower communities to achieve change - USA, Canada, UK
            ",2014,"Farrell, James",Canada,yes,yes,yes
"
              To investigate how lawyers can empower communities to achieve change - USA, Canada, UK
            ",2014,"Farrell, James",UK,yes,yes,yes
"
              To improve the decision-making processes of the Victorian Adult Parole Board - USA, Canada
            ",2014,"Farrow, Stephen",USA,yes,yes,yes
"
              To improve the decision-making processes of the Victorian Adult Parole Board - USA, Canada
            ",2014,"Farrow, Stephen",Canada,yes,yes,yes
"
              The Jack Brockhoff Foundation Churchill Fellowship to better protect the human rights and dignity of people with disabilities, who are detained and subjected to compulsory treatment in closed environments, through the use of innovative legal services - USA, UK, Hungary
            ",2014,"Fritze, Eleanore",USA,yes,yes,yes
"
              The Jack Brockhoff Foundation Churchill Fellowship to better protect the human rights and dignity of people with disabilities, who are detained and subjected to compulsory treatment in closed environments, through the use of innovative legal services - USA, UK, Hungary
            ",2014,"Fritze, Eleanore",UK,yes,yes,yes
"
              The Jack Brockhoff Foundation Churchill Fellowship to better protect the human rights and dignity of people with disabilities, who are detained and subjected to compulsory treatment in closed environments, through the use of innovative legal services - USA, UK, Hungary
            ",2014,"Fritze, Eleanore",Hungary,yes,yes,yes
"
              To investigate cultural perspectives on sustainable social and emotional strategies that can be implemented by secondary school teachers to support mental health and wellness of gifted adolescents - Singapore, Hong Kong, UK, Slovenia, USA
            ",2014,"Furphy , Valerie",Singapore,yes,yes,yes
"
              To investigate cultural perspectives on sustainable social and emotional strategies that can be implemented by secondary school teachers to support mental health and wellness of gifted adolescents - Singapore, Hong Kong, UK, Slovenia, USA
            ",2014,"Furphy , Valerie",UK,yes,yes,yes
"
              To investigate cultural perspectives on sustainable social and emotional strategies that can be implemented by secondary school teachers to support mental health and wellness of gifted adolescents - Singapore, Hong Kong, UK, Slovenia, USA
            ",2014,"Furphy , Valerie",Slovenia,yes,yes,yes
"
              To investigate cultural perspectives on sustainable social and emotional strategies that can be implemented by secondary school teachers to support mental health and wellness of gifted adolescents - Singapore, Hong Kong, UK, Slovenia, USA
            ",2014,"Furphy , Valerie",USA,yes,yes,yes
"
              To investigate and experience traditional Chinese comedy as a basis for cultural exchange - China, Taiwan, Japan
            ",2014,"Gannon, Andrew",China,yes,yes,yes
"
              To investigate and experience traditional Chinese comedy as a basis for cultural exchange - China, Taiwan, Japan
            ",2014,"Gannon, Andrew",Taiwan,yes,yes,yes
"
              To investigate and experience traditional Chinese comedy as a basis for cultural exchange - China, Taiwan, Japan
            ",2014,"Gannon, Andrew",Japan,yes,yes,yes
"
              To investigate social housing waiting lists to prioritise assistance for homeless people - Singapore, Hong Kong, USA, UK
            ",2014,"Georgopoulos, Debbie",Singapore,yes,yes,yes
"
              To investigate social housing waiting lists to prioritise assistance for homeless people - Singapore, Hong Kong, USA, UK
            ",2014,"Georgopoulos, Debbie",USA,yes,yes,yes
"
              To investigate social housing waiting lists to prioritise assistance for homeless people - Singapore, Hong Kong, USA, UK
            ",2014,"Georgopoulos, Debbie",UK,yes,yes,yes
"
              To study emerging and innovative crime prevention practices related to rural crime - UK, USA
            ",2014,"Gillard, Craig",UK,yes,yes,yes
"
              To study emerging and innovative crime prevention practices related to rural crime - UK, USA
            ",2014,"Gillard, Craig",USA,yes,yes,yes
"
              To investigate how organisations provide support and education to people with disabilities and mental illness so they can have positive, lasting and respectful relationships and partnerships - Canada, USA, UK
            ",2014,"Glazebrook, David",Canada,yes,yes,yes
"
              To investigate how organisations provide support and education to people with disabilities and mental illness so they can have positive, lasting and respectful relationships and partnerships - Canada, USA, UK
            ",2014,"Glazebrook, David",USA,yes,yes,yes
"
              To investigate how organisations provide support and education to people with disabilities and mental illness so they can have positive, lasting and respectful relationships and partnerships - Canada, USA, UK
            ",2014,"Glazebrook, David",UK,yes,yes,yes
"
              To identify programs that prevent abuse of people with disabilities who use direct payments to purchase services - UK, Sweden
            ",2014,"Goodwin, Alix",UK,yes,yes,yes
"
              To identify programs that prevent abuse of people with disabilities who use direct payments to purchase services - UK, Sweden
            ",2014,"Goodwin, Alix",Sweden,yes,yes,yes
"
              To investigate key aspects of fish and fish roe production for the Australian domestic and export market - USA, France, Italy, Norway, United Arab Emirates
            ",2014,"Gorman, Nicholas",USA,yes,yes,yes
"
              To investigate key aspects of fish and fish roe production for the Australian domestic and export market - USA, France, Italy, Norway, United Arab Emirates
            ",2014,"Gorman, Nicholas",France,yes,yes,yes
"
              To investigate key aspects of fish and fish roe production for the Australian domestic and export market - USA, France, Italy, Norway, United Arab Emirates
            ",2014,"Gorman, Nicholas",Italy,yes,yes,yes
"
              To investigate key aspects of fish and fish roe production for the Australian domestic and export market - USA, France, Italy, Norway, United Arab Emirates
            ",2014,"Gorman, Nicholas",Norway,yes,yes,yes
"
              To investigate key aspects of fish and fish roe production for the Australian domestic and export market - USA, France, Italy, Norway, United Arab Emirates
            ",2014,"Gorman, Nicholas",United Arab Emirates,yes,yes,yes
"
              To investigate non-court based models for resolution of post separation parenting when one parent is also a perpetrator of family violence - UK, Ireland, Sweden, USA, Canada, New Zealand
            ",2014,"Graham, Jonathan",UK,yes,yes,yes
"
              To investigate non-court based models for resolution of post separation parenting when one parent is also a perpetrator of family violence - UK, Ireland, Sweden, USA, Canada, New Zealand
            ",2014,"Graham, Jonathan",Ireland,yes,yes,yes
"
              To investigate non-court based models for resolution of post separation parenting when one parent is also a perpetrator of family violence - UK, Ireland, Sweden, USA, Canada, New Zealand
            ",2014,"Graham, Jonathan",Sweden,yes,yes,yes
"
              To investigate non-court based models for resolution of post separation parenting when one parent is also a perpetrator of family violence - UK, Ireland, Sweden, USA, Canada, New Zealand
            ",2014,"Graham, Jonathan",USA,yes,yes,yes
"
              To investigate non-court based models for resolution of post separation parenting when one parent is also a perpetrator of family violence - UK, Ireland, Sweden, USA, Canada, New Zealand
            ",2014,"Graham, Jonathan",Canada,yes,yes,yes
"
              To investigate non-court based models for resolution of post separation parenting when one parent is also a perpetrator of family violence - UK, Ireland, Sweden, USA, Canada, New Zealand
            ",2014,"Graham, Jonathan",New Zealand,yes,yes,yes
"
              To improve the criminal justice experience of victims and witnesses involved in the prosecution of serious crime - USA, UK, Kenya
            ",2014,"Griffiths, Melissa",USA,yes,yes,yes
"
              To improve the criminal justice experience of victims and witnesses involved in the prosecution of serious crime - USA, UK, Kenya
            ",2014,"Griffiths, Melissa",UK,yes,yes,yes
"
              To improve the criminal justice experience of victims and witnesses involved in the prosecution of serious crime - USA, UK, Kenya
            ",2014,"Griffiths, Melissa",Kenya,yes,yes,yes
"
              To investigate the regulation, funding and operation of services designed to assist consumers in financial difficulty both for profit and not for profit - UK, USA
            ",2014,"Guthrie AM, Fiona",UK,yes,yes,yes
"
              To investigate the regulation, funding and operation of services designed to assist consumers in financial difficulty both for profit and not for profit - UK, USA
            ",2014,"Guthrie AM, Fiona",USA,yes,yes,yes
"
              To study methods for improving the risk assessment, behavioural interviewing and management of registered sex offenders by police - UK, Canada
            ",2014,"Hales, Kirsty",UK,yes,yes,yes
"
              To study methods for improving the risk assessment, behavioural interviewing and management of registered sex offenders by police - UK, Canada
            ",2014,"Hales, Kirsty",Canada,yes,yes,yes
"
              The James Love Churchill Fellowship to investigate traditional terroir cheese making using ingredients from immediate environs - Ukraine, Spain, Italy
            ",2014,"Hart, Trevor",Ukraine,yes,yes,yes
"
              The James Love Churchill Fellowship to investigate traditional terroir cheese making using ingredients from immediate environs - Ukraine, Spain, Italy
            ",2014,"Hart, Trevor",Spain,yes,yes,yes
"
              The James Love Churchill Fellowship to investigate traditional terroir cheese making using ingredients from immediate environs - Ukraine, Spain, Italy
            ",2014,"Hart, Trevor",Italy,yes,yes,yes
"
              To study in situ, historical and contemporary figurative sculpture which has revitalised civic space - USA, Spain, Germany, Poland, Switzerland, UK
            ",2014,"Hart, Stephen",USA,yes,yes,yes
"
              To study in situ, historical and contemporary figurative sculpture which has revitalised civic space - USA, Spain, Germany, Poland, Switzerland, UK
            ",2014,"Hart, Stephen",Spain,yes,yes,yes
"
              To study in situ, historical and contemporary figurative sculpture which has revitalised civic space - USA, Spain, Germany, Poland, Switzerland, UK
            ",2014,"Hart, Stephen",Germany,yes,yes,yes
"
              To study in situ, historical and contemporary figurative sculpture which has revitalised civic space - USA, Spain, Germany, Poland, Switzerland, UK
            ",2014,"Hart, Stephen",Poland,yes,yes,yes
"
              To study in situ, historical and contemporary figurative sculpture which has revitalised civic space - USA, Spain, Germany, Poland, Switzerland, UK
            ",2014,"Hart, Stephen",Switzerland,yes,yes,yes
"
              To study in situ, historical and contemporary figurative sculpture which has revitalised civic space - USA, Spain, Germany, Poland, Switzerland, UK
            ",2014,"Hart, Stephen",UK,yes,yes,yes
"
              The Vincent Fairfax Ethics in Leadership Churchill Fellowship to research interdisciplinary insights into decision making in different cultures and their practical application to improving the quality of board room decision making - Canada, USA, UK, Malaysia, Thailand
            ",2014,"Hickey, Virginia",Canada,yes,yes,yes
"
              The Vincent Fairfax Ethics in Leadership Churchill Fellowship to research interdisciplinary insights into decision making in different cultures and their practical application to improving the quality of board room decision making - Canada, USA, UK, Malaysia, Thailand
            ",2014,"Hickey, Virginia",USA,yes,yes,yes
"
              The Vincent Fairfax Ethics in Leadership Churchill Fellowship to research interdisciplinary insights into decision making in different cultures and their practical application to improving the quality of board room decision making - Canada, USA, UK, Malaysia, Thailand
            ",2014,"Hickey, Virginia",UK,yes,yes,yes
"
              The Vincent Fairfax Ethics in Leadership Churchill Fellowship to research interdisciplinary insights into decision making in different cultures and their practical application to improving the quality of board room decision making - Canada, USA, UK, Malaysia, Thailand
            ",2014,"Hickey, Virginia",Malaysia,yes,yes,yes
